study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	col_tax_id	col_scientific_name	reference_alignment
PRJEB2870	ERP001198	SAMEA1324708	ERS092960	ERX110640	ERR134622	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134622/ERR134622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134622/ERR134622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134622/ERR134622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134622/ERR134622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#11.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#11.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324725	ERS092961	ERX110641	ERR134623	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134623/ERR134623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134623/ERR134623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134623/ERR134623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134623/ERR134623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#12.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#12.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324733	ERS092962	ERX110642	ERR134624	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134624/ERR134624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134624/ERR134624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134624/ERR134624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134624/ERR134624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#13.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#13.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324541	ERS092963	ERX110643	ERR134625	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134625/ERR134625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134625/ERR134625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134625/ERR134625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134625/ERR134625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#14.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#14.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324567	ERS092964	ERX110644	ERR134626	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134626/ERR134626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134626/ERR134626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134626/ERR134626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134626/ERR134626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#15.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#15.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324516	ERS092965	ERX110645	ERR134627	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134627/ERR134627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134627/ERR134627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134627/ERR134627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134627/ERR134627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#16.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#16.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324537	ERS092966	ERX110646	ERR134628	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134628/ERR134628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134628/ERR134628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134628/ERR134628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134628/ERR134628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#17.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#17.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324629	ERS092967	ERX110647	ERR134629	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134629/ERR134629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134629/ERR134629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134629/ERR134629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134629/ERR134629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#18.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#18.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324621	ERS092968	ERX110648	ERR134630	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134630/ERR134630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134630/ERR134630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134630/ERR134630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134630/ERR134630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#19.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#19.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324639	ERS092969	ERX110649	ERR134631	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134631/ERR134631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134631/ERR134631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134631/ERR134631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134631/ERR134631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#20.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#20.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324653	ERS092970	ERX110650	ERR134632	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134632/ERR134632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134632/ERR134632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134632/ERR134632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134632/ERR134632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#21.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#21.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324663	ERS092971	ERX110651	ERR134633	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134633/ERR134633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134633/ERR134633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134633/ERR134633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134633/ERR134633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#22.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#22.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324679	ERS092972	ERX110652	ERR134634	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134634/ERR134634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134634/ERR134634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134634/ERR134634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134634/ERR134634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#23.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#23.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324688	ERS092973	ERX110653	ERR134635	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134635/ERR134635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134635/ERR134635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134635/ERR134635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134635/ERR134635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#24.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#24.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324705	ERS092974	ERX110654	ERR134636	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134636/ERR134636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134636/ERR134636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134636/ERR134636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134636/ERR134636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#25.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#25.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324718	ERS092975	ERX110655	ERR134637	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134637/ERR134637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134637/ERR134637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134637/ERR134637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134637/ERR134637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#26.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#26.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324724	ERS092976	ERX110656	ERR134638	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134638/ERR134638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134638/ERR134638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134638/ERR134638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134638/ERR134638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#27.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#27.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324740	ERS092977	ERX110657	ERR134639	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134639/ERR134639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134639/ERR134639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134639/ERR134639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134639/ERR134639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#28.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#28.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324759	ERS092978	ERX110658	ERR134640	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134640/ERR134640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134640/ERR134640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134640/ERR134640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134640/ERR134640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#29.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#29.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324764	ERS092979	ERX110659	ERR134641	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134641/ERR134641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134641/ERR134641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134641/ERR134641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134641/ERR134641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#30.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#30.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324563	ERS092980	ERX110660	ERR134642	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134642/ERR134642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134642/ERR134642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134642/ERR134642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134642/ERR134642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#31.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#31.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324558	ERS092981	ERX110661	ERR134643	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134643/ERR134643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134643/ERR134643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134643/ERR134643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134643/ERR134643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#32.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#32.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324605	ERS092982	ERX110662	ERR134644	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134644/ERR134644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134644/ERR134644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134644/ERR134644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134644/ERR134644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#33.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#33.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324591	ERS092983	ERX110663	ERR134645	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134645/ERR134645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134645/ERR134645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134645/ERR134645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134645/ERR134645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#34.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#34.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324578	ERS092984	ERX110664	ERR134646	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134646/ERR134646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134646/ERR134646_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134646/ERR134646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134646/ERR134646_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#35.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#35.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324633	ERS092985	ERX110665	ERR134647	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134647/ERR134647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134647/ERR134647_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134647/ERR134647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134647/ERR134647_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#36.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#36.bam	6302616	Staphylococcus aureus	N
